Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
3,19,41,9,6,10,6,6,8,19,25,46,2,2,30,2,2,5,5,2,1,1,50,2,1,4
3,15,36,8,8,8,5,5,16,14,33,33,2,2,20,2,1,6,4,2,2,1,20,2,1,2
1,19,35,8,8,9,4,3,22,20,26,9,1,2,20,2,2,1,1,2,4,2,70,1,2,3
1,26,50,2,7,8,7,6,19,22,28,16,2,2,40,2,3,2,1,2,3,2,60,2,1,5
1,25,41,6,10,9,6,9,26,19,29,5,2,2,50,1,2,1,3,2,3,2,60,2,1,3
3,20,29,8,8,3,4,8,13,11,28,43,1,2,30,2,1,1,4,2,1,1,40,2,1,1
3,11,34,5,8,7,4,7,23,10,24,30,1,2,60,1,1,3,6,2,1,2,80,1,1,6
3,15,30,6,10,9,4,7,13,15,33,17,1,2,40,2,3,1,1,2,3,2,80,1,1,2
2,26,56,2,5,9,9,8,16,25,18,26,1,2,20,2,3,2,3,2,3,2,30,2,1,6
2,31,49,8,3,7,10,8,18,21,34,32,2,2,50,2,2,1,1,2,5,2,80,1,2,6
1,11,52,7,6,9,6,8,29,11,25,9,1,1,40,1,2,1,1,1,4,2,70,1,1,1
3,21,24,6,10,9,2,8,22,8,29,34,1,2,40,2,2,1,5,2,3,2,90,2,2,6
3,21,30,8,8,7,5,9,22,14,26,30,2,2,30,2,1,1,3,2,3,2,90,1,2,5
3,37,43,7,9,9,3,7,22,15,28,50,2,2,50,2,2,1,2,2,5,2,70,1,2,4
3,21,30,9,7,10,8,6,31,16,34,26,2,2,30,1,1,1,2,2,3,2,50,2,1,4
3,24,38,6,6,8,4,5,21,12,29,19,1,2,40,1,3,1,3,2,3,2,50,2,2,5
